21,21
text_java   , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , text_java   , near        , text_git    , is          , you
near          , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
text_flag         , .           , flag        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , flag        , .           , .
is           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .
win           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , text_git    , is          , push        , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , git         , .           , .           , .           , text_java   , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , git         , java        , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , git         , .           , .           , .           , .           , text_git    , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , facing      , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , wire        , .           , .           , .
.           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .
text_java   , .           , flag        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , flag        , .           , text_wire
is          , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , is
sink        , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , defeat
