16,13
error       , error       , error       , error       , error       , error       , error       , error       , .           , .           , .           , text_git    , text_java   , is          , you         , text_flag
error       , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , is          , .           , .           , .           , is
error       , .           , text_error  , .           , .           , .           , .           , error       , .           , .           , .           , push        , .           , .           , .           , win
error       , .           , is          , .           , .           , flag        , .           , error       , .           , .           , .           , .           , .           , .           , .           , .
error       , .           , defeat      , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .           , .
error       , error       , error       , error       , error       , error       , error       , error       , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , error       , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , java        , .           , .           , git         , git         , .           , .           , .           , .           , git         , .           , .
error       , .           , .           , .           , .           , .           , .           , error       , error       , .           , .           , .           , .           , is          , .           , .
error       , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , push        , .           , .
error       , error       , error       , error       , error       , error       , error       , error       , error       , .           , .           , .           , .           , .           , .           , .
