16,16
text_java   , is          , you         , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
text_flag   , is          , win         , .           , .           , .           , .           , .           , error       , error       , error       , error       , error       , error       , error       , .
.           , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , error       , .
.           , .           , .           , .           , .           , .           , .           , .           , error       , .           , text_error  , .           , .           , .           , error       , .
.           , text_git    , is          , push        , .           , .           , .           , .           , error       , .           , is          , .           , flag        , .           , error       , .
.           , .           , .           , .           , .           , .           , .           , .           , error       , .           , defeat      , .           , .           , .           , error       , .
.           , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , error       , .
.           , .           , .           , error       , git         , error       , .           , .           , error       , error       , error       , error       , error       , error       , error       , .
.           , .           , .           , error       , git         , error       , .           , .           , .           , .           , .           , .           , .           , .           , .           , .
error       , error       , error       , error       , git         , error       , error       , error       , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , java        , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .
error       , .           , .           , .           , .           , .           , .           , .           , error       , .           , .           , .           , .           , .           , .           , .
