15,13
text_git    , is          , push        , .           , .           , .           , .           , .           , .           , .           , .           , .           , text_flag   , is          , win         
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           
.           , wire        , .           , .           , .           , wire        , .           , .           , .           , water       , .           , .           , .           , wire        , .           
.           , wire        , .           , python      , .           , wire        , .           , .           , .           , water       , .           , text_flag   , .           , wire        , .
.           , wire        , .           , .           , .           , wire        , .           , .           , .           , water       , .           , .           , .           , wire        , .           
.           , wire        , git         , git         , git         , wire        , water       , water       , water       , wire        , water       , water       , water       , wire        , .           
.           , wire        , .           , .           , .           , water       , .           , .           , .           , wire        , water       , water       , water       , wire        , .           
.           , wire        , .           , java        , .           , water       , text_python , extend      , text_java   , wire        , water       , water       , water       , wire        , .           
.           , wire        , .           , .           , .           , water       , .           , .           , .           , wire        , water       , flag        , water       , wire        , .           
.           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
text_water  , is          , sink        , .           , .           , .           , text_java   , is          , you         , .           , .           , .           , text_wire   , is          , stop        
